codigo,titulo,secao,grupo,tipo,colada,repetidas
FWC00,Logotipo da Panini,FIFA World Cup 2026,,Especial,0,0
FWC1,Emblema Oficial (Parte 1),FIFA World Cup 2026,,Especial,0,0
FWC2,Emblema Oficial (Parte 2),FIFA World Cup 2026,,Especial,0,0
FWC3,Mascotes Oficiais,FIFA World Cup 2026,,Especial,0,0
FWC4,Slogan Oficial,FIFA World Cup 2026,,Especial,0,0
FWC5,Bola Oficial,FIFA World Cup 2026,,Especial,1,0
FWC6,Escudo do Canada (Pais-Sede),FIFA World Cup 2026,,Especial,0,0
FWC7,Escudo do Mexico (Pais-Sede),FIFA World Cup 2026,,Especial,1,0
FWC8,Escudo dos EUA (Pais-Sede),FIFA World Cup 2026,,Especial,0,0
FWC9,Italia 1934,FIFA World Cup 2026,,Especial,0,0
FWC10,Uruguai 1950,FIFA World Cup 2026,,Especial,1,0
FWC11,Alemanha 1954,FIFA World Cup 2026,,Especial,0,0
FWC12,Brasil 1962,FIFA World Cup 2026,,Especial,0,0
FWC13,Alemanha 1974,FIFA World Cup 2026,,Especial,0,0
FWC14,Argentina 1986,FIFA World Cup 2026,,Especial,0,0
FWC15,Brasil 1994,FIFA World Cup 2026,,Especial,0,0
FWC16,Brasil 2002,FIFA World Cup 2026,,Especial,0,0
FWC17,Italia 2006,FIFA World Cup 2026,,Especial,1,0
FWC18,Alemanha 2014,FIFA World Cup 2026,,Especial,0,0
FWC19,Argentina 2022,FIFA World Cup 2026,,Especial,0,0
MEX1,Escudo,Mexico,Grupo A,Especial,0,0
MEX2,Luis Malagon,Mexico,Grupo A,Comum,0,0
MEX3,Johan Vasquez,Mexico,Grupo A,Comum,0,0
MEX4,Jorge Sanchez,Mexico,Grupo A,Comum,0,0
MEX5,Cesar Montes,Mexico,Grupo A,Comum,0,0
MEX6,Jesus Gallardo,Mexico,Grupo A,Comum,0,0
MEX7,Israel Reyes,Mexico,Grupo A,Comum,0,0
MEX8,Diego Lainez,Mexico,Grupo A,Comum,0,0
MEX9,Carlos Rodriguez,Mexico,Grupo A,Comum,0,0
MEX10,Edson Alvarez,Mexico,Grupo A,Comum,1,0
MEX11,Orbelin Pineda,Mexico,Grupo A,Comum,1,0
MEX12,Marcel Ruiz,Mexico,Grupo A,Comum,0,0
MEX13,Foto da Equipe,Mexico,Grupo A,Comum,1,0
MEX14,Erick Sanchez,Mexico,Grupo A,Comum,1,0
MEX15,Hirving Lozano,Mexico,Grupo A,Comum,0,0
MEX16,Santiago Gimenez,Mexico,Grupo A,Comum,1,0
MEX17,Raul Jimenez,Mexico,Grupo A,Comum,0,0
MEX18,Alexis Vega,Mexico,Grupo A,Comum,0,0
MEX19,Roberto Alvarado,Mexico,Grupo A,Comum,0,0
MEX20,Cesar Huerta,Mexico,Grupo A,Comum,1,0
RSA1,Escudo,Africa do Sul,Grupo A,Especial,0,0
RSA2,Ronwen Williams,Africa do Sul,Grupo A,Comum,0,0
RSA3,Sipho Chaine,Africa do Sul,Grupo A,Comum,0,0
RSA4,Aubrey Modiba,Africa do Sul,Grupo A,Comum,0,0
RSA5,Samukele Kabini,Africa do Sul,Grupo A,Comum,0,0
RSA6,Mbekezeli Mbokazi,Africa do Sul,Grupo A,Comum,0,0
RSA7,Khulumani Ndamane,Africa do Sul,Grupo A,Comum,0,0
RSA8,Siyabonga Ngezana,Africa do Sul,Grupo A,Comum,1,0
RSA9,Khuliso Mudau,Africa do Sul,Grupo A,Comum,0,0
RSA10,Nkosinathi Sibisi,Africa do Sul,Grupo A,Comum,1,1
RSA11,Teboho Mokoena,Africa do Sul,Grupo A,Comum,0,0
RSA12,Thalente Mbatha,Africa do Sul,Grupo A,Comum,0,0
RSA13,Foto da Equipe,Africa do Sul,Grupo A,Comum,1,0
RSA14,Bathasi Aubaas,Africa do Sul,Grupo A,Comum,0,0
RSA15,Yaya Sithole,Africa do Sul,Grupo A,Comum,0,0
RSA16,Sipho Mbule,Africa do Sul,Grupo A,Comum,0,0
RSA17,Lyle Foster,Africa do Sul,Grupo A,Comum,0,0
RSA18,Iqraam Rayners,Africa do Sul,Grupo A,Comum,0,0
RSA19,Mohau Nkota,Africa do Sul,Grupo A,Comum,1,0
RSA20,Oswin Appollis,Africa do Sul,Grupo A,Comum,1,0
KOR1,Escudo,Coreia do Sul,Grupo A,Especial,0,0
KOR2,Hyeon-woo Jo,Coreia do Sul,Grupo A,Comum,0,0
KOR3,Seung-Gyu Kim,Coreia do Sul,Grupo A,Comum,1,0
KOR4,Min-jae Kim,Coreia do Sul,Grupo A,Comum,0,0
KOR5,Yu-min Cho,Coreia do Sul,Grupo A,Comum,0,0
KOR6,Young-woo Seol,Coreia do Sul,Grupo A,Comum,0,0
KOR7,Han-beom Lee,Coreia do Sul,Grupo A,Comum,0,0
KOR8,Tae-seok Lee,Coreia do Sul,Grupo A,Comum,0,0
KOR9,Myung-jae Lee,Coreia do Sul,Grupo A,Comum,0,0
KOR10,Jae-sung Lee,Coreia do Sul,Grupo A,Comum,0,0
KOR11,In-beom Hwang,Coreia do Sul,Grupo A,Comum,0,0
KOR12,Kang-in Lee,Coreia do Sul,Grupo A,Comum,0,0
KOR13,Foto da Equipe,Coreia do Sul,Grupo A,Comum,0,0
KOR14,Seung-ho Paik,Coreia do Sul,Grupo A,Comum,0,0
KOR15,Jens Castrop,Coreia do Sul,Grupo A,Comum,0,0
KOR16,Dongg-yeong Lee,Coreia do Sul,Grupo A,Comum,0,0
KOR17,Gue-sung Cho,Coreia do Sul,Grupo A,Comum,0,0
KOR18,Heung-min Son,Coreia do Sul,Grupo A,Comum,0,0
KOR19,Hee-chan Hwang,Coreia do Sul,Grupo A,Comum,0,0
KOR20,Hyeon-Gyu Oh,Coreia do Sul,Grupo A,Comum,0,0
CZE1,Escudo,Republica Tcheca,Grupo A,Especial,0,0
CZE2,Matej Kovar,Republica Tcheca,Grupo A,Comum,0,0
CZE3,Jindrich Stanek,Republica Tcheca,Grupo A,Comum,0,0
CZE4,Ladislav Krejci,Republica Tcheca,Grupo A,Comum,0,0
CZE5,Vladimir Coufal,Republica Tcheca,Grupo A,Comum,0,0
CZE6,Jaroslav Zeleny,Republica Tcheca,Grupo A,Comum,1,0
CZE7,Tomas Holes,Republica Tcheca,Grupo A,Comum,0,0
CZE8,David Zima,Republica Tcheca,Grupo A,Comum,1,0
CZE9,Michal Sadilek,Republica Tcheca,Grupo A,Comum,0,0
CZE10,Lukas Provod,Republica Tcheca,Grupo A,Comum,1,0
CZE11,Lukas Cerv,Republica Tcheca,Grupo A,Comum,0,0
CZE12,Tomas Soucek,Republica Tcheca,Grupo A,Comum,1,0
CZE13,Foto da Equipe,Republica Tcheca,Grupo A,Comum,0,0
CZE14,Pavel Sulc,Republica Tcheca,Grupo A,Comum,0,0
CZE15,Matej Vydra,Republica Tcheca,Grupo A,Comum,1,0
CZE16,Vasil Kusej,Republica Tcheca,Grupo A,Comum,0,0
CZE17,Tomas Chory,Republica Tcheca,Grupo A,Comum,0,0
CZE18,Vacilav Cerny,Republica Tcheca,Grupo A,Comum,0,0
CZE19,Adam Hlozek,Republica Tcheca,Grupo A,Comum,0,0
CZE20,Patrik Schick,Republica Tcheca,Grupo A,Comum,0,0
CAN1,Escudo,Canada,Grupo B,Especial,0,0
CAN2,Dayne St.Clair,Canada,Grupo B,Comum,0,0
CAN3,Alphonso Davies,Canada,Grupo B,Comum,1,0
CAN4,Alistair Johnston,Canada,Grupo B,Comum,1,0
CAN5,Samuel Adekugbe,Canada,Grupo B,Comum,1,0
CAN6,Riche Larvea,Canada,Grupo B,Comum,0,0
CAN7,Derek Cornelius,Canada,Grupo B,Comum,0,0
CAN8,Moise Bombito,Canada,Grupo B,Comum,1,0
CAN9,Kamal Miller,Canada,Grupo B,Comum,1,0
CAN10,Stephen Eustaquio,Canada,Grupo B,Comum,1,0
CAN11,Ismael Kone,Canada,Grupo B,Comum,0,0
CAN12,Jonathan Osorio,Canada,Grupo B,Comum,0,0
CAN13,Foto da Equipe,Canada,Grupo B,Comum,0,0
CAN14,Jacob Shaffelburg,Canada,Grupo B,Comum,0,0
CAN15,Mathieu Choiniere,Canada,Grupo B,Comum,0,0
CAN16,Niko Sigur,Canada,Grupo B,Comum,1,0
CAN17,Tajon Buchanan,Canada,Grupo B,Comum,0,0
CAN18,Liam Millar,Canada,Grupo B,Comum,0,0
CAN19,Cyle Larin,Canada,Grupo B,Comum,0,0
CAN20,Jonathan David,Canada,Grupo B,Comum,1,0
