codigo,titulo,secao,grupo,tipo
FWC00,Item FWC00,FIFA World Cup 2026,,Especial
FWC1,Item FWC1,FIFA World Cup 2026,,Especial
FWC2,Item FWC2,FIFA World Cup 2026,,Especial
FWC3,Item FWC3,FIFA World Cup 2026,,Especial
MEX1,Escudo,Mexico,Grupo A,Especial
MEX2,Jogador MEX2,Mexico,Grupo A,Comum
MEX3,Jogador MEX3,Mexico,Grupo A,Comum
MEX4,Jogador MEX4,Mexico,Grupo A,Comum
RSA1,Escudo,Africa do Sul,Grupo A,Especial
RSA2,Jogador RSA2,Africa do Sul,Grupo A,Comum
RSA3,Jogador RSA3,Africa do Sul,Grupo A,Comum
RSA4,Jogador RSA4,Africa do Sul,Grupo A,Comum
KOR1,Escudo,Coreia do Sul,Grupo A,Especial
KOR2,Jogador KOR2,Coreia do Sul,Grupo A,Comum
KOR3,Jogador KOR3,Coreia do Sul,Grupo A,Comum
KOR4,Jogador KOR4,Coreia do Sul,Grupo A,Comum
CZE1,Escudo,Rep. Tcheca,Grupo A,Especial
CZE2,Jogador CZE2,Rep. Tcheca,Grupo A,Comum
CZE3,Jogador CZE3,Rep. Tcheca,Grupo A,Comum
CZE4,Jogador CZE4,Rep. Tcheca,Grupo A,Comum
CAN1,Escudo,Canada,Grupo B,Especial
CAN2,Jogador CAN2,Canada,Grupo B,Comum
CAN3,Jogador CAN3,Canada,Grupo B,Comum
CAN4,Jogador CAN4,Canada,Grupo B,Comum
BIH1,Escudo,Bosnia,Grupo B,Especial
BIH2,Jogador BIH2,Bosnia,Grupo B,Comum
BIH3,Jogador BIH3,Bosnia,Grupo B,Comum
BIH4,Jogador BIH4,Bosnia,Grupo B,Comum
QAT1,Escudo,Catar,Grupo B,Especial
QAT2,Jogador QAT2,Catar,Grupo B,Comum
QAT3,Jogador QAT3,Catar,Grupo B,Comum
QAT4,Jogador QAT4,Catar,Grupo B,Comum
SUI1,Escudo,Suica,Grupo B,Especial
SUI2,Jogador SUI2,Suica,Grupo B,Comum
SUI3,Jogador SUI3,Suica,Grupo B,Comum
SUI4,Jogador SUI4,Suica,Grupo B,Comum
BRA1,Escudo,Brasil,Grupo C,Especial
BRA2,Jogador BRA2,Brasil,Grupo C,Comum
BRA3,Jogador BRA3,Brasil,Grupo C,Comum
BRA4,Jogador BRA4,Brasil,Grupo C,Comum
MAR1,Escudo,Marrocos,Grupo C,Especial
MAR2,Jogador MAR2,Marrocos,Grupo C,Comum
MAR3,Jogador MAR3,Marrocos,Grupo C,Comum
MAR4,Jogador MAR4,Marrocos,Grupo C,Comum
HAI1,Escudo,Haiti,Grupo C,Especial
HAI2,Jogador HAI2,Haiti,Grupo C,Comum
HAI3,Jogador HAI3,Haiti,Grupo C,Comum
HAI4,Jogador HAI4,Haiti,Grupo C,Comum
SCO1,Escudo,Escocia,Grupo C,Especial
SCO2,Jogador SCO2,Escocia,Grupo C,Comum
SCO3,Jogador SCO3,Escocia,Grupo C,Comum
SCO4,Jogador SCO4,Escocia,Grupo C,Comum
USA1,Escudo,Estados Unidos,Grupo D,Especial
USA2,Jogador USA2,Estados Unidos,Grupo D,Comum
USA3,Jogador USA3,Estados Unidos,Grupo D,Comum
USA4,Jogador USA4,Estados Unidos,Grupo D,Comum
PAR1,Escudo,Paraguai,Grupo D,Especial
PAR2,Jogador PAR2,Paraguai,Grupo D,Comum
PAR3,Jogador PAR3,Paraguai,Grupo D,Comum
PAR4,Jogador PAR4,Paraguai,Grupo D,Comum
AUS1,Escudo,Australia,Grupo D,Especial
AUS2,Jogador AUS2,Australia,Grupo D,Comum
AUS3,Jogador AUS3,Australia,Grupo D,Comum
AUS4,Jogador AUS4,Australia,Grupo D,Comum
TUR1,Escudo,Turquia,Grupo D,Especial
TUR2,Jogador TUR2,Turquia,Grupo D,Comum
TUR3,Jogador TUR3,Turquia,Grupo D,Comum
TUR4,Jogador TUR4,Turquia,Grupo D,Comum
GER1,Escudo,Alemanha,Grupo E,Especial
GER2,Jogador GER2,Alemanha,Grupo E,Comum
GER3,Jogador GER3,Alemanha,Grupo E,Comum
GER4,Jogador GER4,Alemanha,Grupo E,Comum
CUW1,Escudo,Curacao,Grupo E,Especial
CUW2,Jogador CUW2,Curacao,Grupo E,Comum
CUW3,Jogador CUW3,Curacao,Grupo E,Comum
CUW4,Jogador CUW4,Curacao,Grupo E,Comum
CIV1,Escudo,Costa do Marfim,Grupo E,Especial
CIV2,Jogador CIV2,Costa do Marfim,Grupo E,Comum
CIV3,Jogador CIV3,Costa do Marfim,Grupo E,Comum
CIV4,Jogador CIV4,Costa do Marfim,Grupo E,Comum
ECU1,Escudo,Equador,Grupo E,Especial
ECU2,Jogador ECU2,Equador,Grupo E,Comum
ECU3,Jogador ECU3,Equador,Grupo E,Comum
ECU4,Jogador ECU4,Equador,Grupo E,Comum
NED1,Escudo,Holanda,Grupo F,Especial
NED2,Jogador NED2,Holanda,Grupo F,Comum
NED3,Jogador NED3,Holanda,Grupo F,Comum
NED4,Jogador NED4,Holanda,Grupo F,Comum
JPN1,Escudo,Japao,Grupo F,Especial
JPN2,Jogador JPN2,Japao,Grupo F,Comum
JPN3,Jogador JPN3,Japao,Grupo F,Comum
JPN4,Jogador JPN4,Japao,Grupo F,Comum
SWE1,Escudo,Suecia,Grupo F,Especial
SWE2,Jogador SWE2,Suecia,Grupo F,Comum
SWE3,Jogador SWE3,Suecia,Grupo F,Comum
SWE4,Jogador SWE4,Suecia,Grupo F,Comum
TUN1,Escudo,Tunisia,Grupo F,Especial
TUN2,Jogador TUN2,Tunisia,Grupo F,Comum
TUN3,Jogador TUN3,Tunisia,Grupo F,Comum
TUN4,Jogador TUN4,Tunisia,Grupo F,Comum
BEL1,Escudo,Belgica,Grupo G,Especial
BEL2,Jogador BEL2,Belgica,Grupo G,Comum
BEL3,Jogador BEL3,Belgica,Grupo G,Comum
BEL4,Jogador BEL4,Belgica,Grupo G,Comum
EGY1,Escudo,Egito,Grupo G,Especial
EGY2,Jogador EGY2,Egito,Grupo G,Comum
EGY3,Jogador EGY3,Egito,Grupo G,Comum
EGY4,Jogador EGY4,Egito,Grupo G,Comum
IRN1,Escudo,Ira,Grupo G,Especial
IRN2,Jogador IRN2,Ira,Grupo G,Comum
IRN3,Jogador IRN3,Ira,Grupo G,Comum
IRN4,Jogador IRN4,Ira,Grupo G,Comum
NZL1,Escudo,Nova Zelandia,Grupo G,Especial
NZL2,Jogador NZL2,Nova Zelandia,Grupo G,Comum
NZL3,Jogador NZL3,Nova Zelandia,Grupo G,Comum
NZL4,Jogador NZL4,Nova Zelandia,Grupo G,Comum
ESP1,Escudo,Espanha,Grupo H,Especial
ESP2,Jogador ESP2,Espanha,Grupo H,Comum
ESP3,Jogador ESP3,Espanha,Grupo H,Comum
ESP4,Jogador ESP4,Espanha,Grupo H,Comum
CPV1,Escudo,Cabo Verde,Grupo H,Especial
CPV2,Jogador CPV2,Cabo Verde,Grupo H,Comum
CPV3,Jogador CPV3,Cabo Verde,Grupo H,Comum
CPV4,Jogador CPV4,Cabo Verde,Grupo H,Comum
KSA1,Escudo,Arabia Saudita,Grupo H,Especial
KSA2,Jogador KSA2,Arabia Saudita,Grupo H,Comum
KSA3,Jogador KSA3,Arabia Saudita,Grupo H,Comum
KSA4,Jogador KSA4,Arabia Saudita,Grupo H,Comum
URU1,Escudo,Uruguai,Grupo H,Especial
URU2,Jogador URU2,Uruguai,Grupo H,Comum
URU3,Jogador URU3,Uruguai,Grupo H,Comum
URU4,Jogador URU4,Uruguai,Grupo H,Comum
FRA1,Escudo,Franca,Grupo I,Especial
FRA2,Jogador FRA2,Franca,Grupo I,Comum
FRA3,Jogador FRA3,Franca,Grupo I,Comum
FRA4,Jogador FRA4,Franca,Grupo I,Comum
SEN1,Escudo,Senegal,Grupo I,Especial
SEN2,Jogador SEN2,Senegal,Grupo I,Comum
SEN3,Jogador SEN3,Senegal,Grupo I,Comum
SEN4,Jogador SEN4,Senegal,Grupo I,Comum
IRQ1,Escudo,Iraque,Grupo I,Especial
IRQ2,Jogador IRQ2,Iraque,Grupo I,Comum
IRQ3,Jogador IRQ3,Iraque,Grupo I,Comum
IRQ4,Jogador IRQ4,Iraque,Grupo I,Comum
NOR1,Escudo,Noruega,Grupo I,Especial
NOR2,Jogador NOR2,Noruega,Grupo I,Comum
NOR3,Jogador NOR3,Noruega,Grupo I,Comum
NOR4,Jogador NOR4,Noruega,Grupo I,Comum
ARG1,Escudo,Argentina,Grupo J,Especial
ARG2,Jogador ARG2,Argentina,Grupo J,Comum
ARG3,Jogador ARG3,Argentina,Grupo J,Comum
ARG4,Jogador ARG4,Argentina,Grupo J,Comum
ALG1,Escudo,Argelia,Grupo J,Especial
ALG2,Jogador ALG2,Argelia,Grupo J,Comum
ALG3,Jogador ALG3,Argelia,Grupo J,Comum
ALG4,Jogador ALG4,Argelia,Grupo J,Comum
AUT1,Escudo,Austria,Grupo J,Especial
AUT2,Jogador AUT2,Austria,Grupo J,Comum
AUT3,Jogador AUT3,Austria,Grupo J,Comum
AUT4,Jogador AUT4,Austria,Grupo J,Comum
JOR1,Escudo,Jordania,Grupo J,Especial
JOR2,Jogador JOR2,Jordania,Grupo J,Comum
JOR3,Jogador JOR3,Jordania,Grupo J,Comum
JOR4,Jogador JOR4,Jordania,Grupo J,Comum
POR1,Escudo,Portugal,Grupo K,Especial
POR2,Jogador POR2,Portugal,Grupo K,Comum
POR3,Jogador POR3,Portugal,Grupo K,Comum
POR4,Jogador POR4,Portugal,Grupo K,Comum
COD1,Escudo,Congo,Grupo K,Especial
COD2,Jogador COD2,Congo,Grupo K,Comum
COD3,Jogador COD3,Congo,Grupo K,Comum
COD4,Jogador COD4,Congo,Grupo K,Comum
UZB1,Escudo,Uzbequistao,Grupo K,Especial
UZB2,Jogador UZB2,Uzbequistao,Grupo K,Comum
UZB3,Jogador UZB3,Uzbequistao,Grupo K,Comum
UZB4,Jogador UZB4,Uzbequistao,Grupo K,Comum
COL1,Escudo,Colombia,Grupo K,Especial
COL2,Jogador COL2,Colombia,Grupo K,Comum
COL3,Jogador COL3,Colombia,Grupo K,Comum
COL4,Jogador COL4,Colombia,Grupo K,Comum
ENG1,Escudo,Inglaterra,Grupo L,Especial
ENG2,Jogador ENG2,Inglaterra,Grupo L,Comum
ENG3,Jogador ENG3,Inglaterra,Grupo L,Comum
ENG4,Jogador ENG4,Inglaterra,Grupo L,Comum
CRO1,Escudo,Croacia,Grupo L,Especial
CRO2,Jogador CRO2,Croacia,Grupo L,Comum
CRO3,Jogador CRO3,Croacia,Grupo L,Comum
CRO4,Jogador CRO4,Croacia,Grupo L,Comum
GHA1,Escudo,Gana,Grupo L,Especial
GHA2,Jogador GHA2,Gana,Grupo L,Comum
GHA3,Jogador GHA3,Gana,Grupo L,Comum
GHA4,Jogador GHA4,Gana,Grupo L,Comum
PAN1,Escudo,Panama,Grupo L,Especial
PAN2,Jogador PAN2,Panama,Grupo L,Comum
PAN3,Jogador PAN3,Panama,Grupo L,Comum
PAN4,Jogador PAN4,Panama,Grupo L,Comum
FWC4,Item FWC4,FIFA World Cup 2026,,Especial
FWC5,Item FWC5,FIFA World Cup 2026,,Especial
FWC6,Item FWC6,FIFA World Cup 2026,,Especial
FWC7,Item FWC7,FIFA World Cup 2026,,Especial
FWC8,Item FWC8,FIFA World Cup 2026,,Especial
FWC9,Item FWC9,FIFA World Cup 2026,,Especial
FWC10,Item FWC10,FIFA World Cup 2026,,Especial
FWC11,Item FWC11,FIFA World Cup 2026,,Especial
FWC12,Item FWC12,FIFA World Cup 2026,,Especial
FWC13,Item FWC13,FIFA World Cup 2026,,Especial
FWC14,Item FWC14,FIFA World Cup 2026,,Especial
FWC15,Item FWC15,FIFA World Cup 2026,,Especial
FWC16,Item FWC16,FIFA World Cup 2026,,Especial
FWC17,Item FWC17,FIFA World Cup 2026,,Especial
FWC18,Item FWC18,FIFA World Cup 2026,,Especial
FWC19,Item FWC19,FIFA World Cup 2026,,Especial
MEX5,Jogador MEX5,Mexico,Grupo A,Comum
MEX6,Jogador MEX6,Mexico,Grupo A,Comum
MEX7,Jogador MEX7,Mexico,Grupo A,Comum
MEX8,Jogador MEX8,Mexico,Grupo A,Comum
MEX9,Jogador MEX9,Mexico,Grupo A,Comum
MEX10,Jogador MEX10,Mexico,Grupo A,Comum
MEX11,Escudo,Mexico,Grupo A,Especial
MEX12,Jogador MEX12,Mexico,Grupo A,Comum
MEX13,Jogador MEX13,Mexico,Grupo A,Comum
MEX14,Jogador MEX14,Mexico,Grupo A,Comum
MEX15,Jogador MEX15,Mexico,Grupo A,Comum
MEX16,Jogador MEX16,Mexico,Grupo A,Comum
MEX17,Jogador MEX17,Mexico,Grupo A,Comum
MEX18,Jogador MEX18,Mexico,Grupo A,Comum
MEX19,Jogador MEX19,Mexico,Grupo A,Comum
MEX20,Jogador MEX20,Mexico,Grupo A,Comum
RSA5,Jogador RSA5,Africa do Sul,Grupo A,Comum
RSA6,Jogador RSA6,Africa do Sul,Grupo A,Comum
RSA7,Jogador RSA7,Africa do Sul,Grupo A,Comum
RSA8,Jogador RSA8,Africa do Sul,Grupo A,Comum
RSA9,Jogador RSA9,Africa do Sul,Grupo A,Comum
KOR5,Jogador KOR5,Coreia do Sul,Grupo A,Comum
CZE5,Jogador CZE5,Rep. Tcheca,Grupo A,Comum
KOR6,Jogador KOR6,Coreia do Sul,Grupo A,Comum
CZE6,Jogador CZE6,Rep. Tcheca,Grupo A,Comum
KOR7,Jogador KOR7,Coreia do Sul,Grupo A,Comum
CZE7,Jogador CZE7,Rep. Tcheca,Grupo A,Comum
KOR8,Jogador KOR8,Coreia do Sul,Grupo A,Comum
CZE8,Jogador CZE8,Rep. Tcheca,Grupo A,Comum
KOR9,Jogador KOR9,Coreia do Sul,Grupo A,Comum
KOR10,Jogador KOR10,Coreia do Sul,Grupo A,Comum
KOR11,Escudo,Coreia do Sul,Grupo A,Especial
KOR12,Jogador KOR12,Coreia do Sul,Grupo A,Comum
KOR13,Jogador KOR13,Coreia do Sul,Grupo A,Comum
KOR14,Jogador KOR14,Coreia do Sul,Grupo A,Comum
KOR15,Jogador KOR15,Coreia do Sul,Grupo A,Comum
KOR16,Jogador KOR16,Coreia do Sul,Grupo A,Comum
KOR17,Jogador KOR17,Coreia do Sul,Grupo A,Comum
KOR18,Jogador KOR18,Coreia do Sul,Grupo A,Comum
KOR19,Jogador KOR19,Coreia do Sul,Grupo A,Comum
KOR20,Jogador KOR20,Coreia do Sul,Grupo A,Comum
CZE9,Jogador CZE9,Rep. Tcheca,Grupo A,Comum
CZE10,Jogador CZE10,Rep. Tcheca,Grupo A,Comum
CZE11,Escudo,Rep. Tcheca,Grupo A,Especial
CZE12,Jogador CZE12,Rep. Tcheca,Grupo A,Comum
CZE13,Jogador CZE13,Rep. Tcheca,Grupo A,Comum
CZE14,Jogador CZE14,Rep. Tcheca,Grupo A,Comum
CZE15,Jogador CZE15,Rep. Tcheca,Grupo A,Comum
CZE16,Jogador CZE16,Rep. Tcheca,Grupo A,Comum
CZE17,Jogador CZE17,Rep. Tcheca,Grupo A,Comum
CZE18,Jogador CZE18,Rep. Tcheca,Grupo A,Comum
CZE19,Jogador CZE19,Rep. Tcheca,Grupo A,Comum
CZE20,Jogador CZE20,Rep. Tcheca,Grupo A,Comum
CAN5,Jogador CAN5,Canada,Grupo B,Comum
CAN6,Jogador CAN6,Canada,Grupo B,Comum
CAN7,Jogador CAN7,Canada,Grupo B,Comum
CAN8,Jogador CAN8,Canada,Grupo B,Comum
CAN9,Jogador CAN9,Canada,Grupo B,Comum
CAN10,Jogador CAN10,Canada,Grupo B,Comum
CAN11,Escudo,Canada,Grupo B,Especial
CAN12,Jogador CAN12,Canada,Grupo B,Comum
CAN13,Jogador CAN13,Canada,Grupo B,Comum
CAN14,Jogador CAN14,Canada,Grupo B,Comum
CAN15,Jogador CAN15,Canada,Grupo B,Comum
CAN16,Jogador CAN16,Canada,Grupo B,Comum
CAN17,Jogador CAN17,Canada,Grupo B,Comum
CAN18,Jogador CAN18,Canada,Grupo B,Comum
CAN19,Jogador CAN19,Canada,Grupo B,Comum
CAN20,Jogador CAN20,Canada,Grupo B,Comum
BIH5,Jogador BIH5,Bosnia,Grupo B,Comum
BIH6,Jogador BIH6,Bosnia,Grupo B,Comum
BIH7,Jogador BIH7,Bosnia,Grupo B,Comum
BIH8,Jogador BIH8,Bosnia,Grupo B,Comum
BIH9,Jogador BIH9,Bosnia,Grupo B,Comum
BIH10,Jogador BIH10,Bosnia,Grupo B,Comum
QAT5,Jogador QAT5,Catar,Grupo B,Comum
SUI5,Jogador SUI5,Suica,Grupo B,Comum
QAT6,Jogador QAT6,Catar,Grupo B,Comum
SUI6,Jogador SUI6,Suica,Grupo B,Comum
QAT7,Jogador QAT7,Catar,Grupo B,Comum
SUI7,Jogador SUI7,Suica,Grupo B,Comum
QAT8,Jogador QAT8,Catar,Grupo B,Comum
SUI8,Jogador SUI8,Suica,Grupo B,Comum
QAT9,Jogador QAT9,Catar,Grupo B,Comum
SUI9,Jogador SUI9,Suica,Grupo B,Comum
QAT10,Jogador QAT10,Catar,Grupo B,Comum
QAT11,Escudo,Catar,Grupo B,Especial
QAT12,Jogador QAT12,Catar,Grupo B,Comum
QAT13,Jogador QAT13,Catar,Grupo B,Comum
QAT14,Jogador QAT14,Catar,Grupo B,Comum
QAT15,Jogador QAT15,Catar,Grupo B,Comum
QAT16,Jogador QAT16,Catar,Grupo B,Comum
QAT17,Jogador QAT17,Catar,Grupo B,Comum
QAT18,Jogador QAT18,Catar,Grupo B,Comum
QAT19,Jogador QAT19,Catar,Grupo B,Comum
QAT20,Jogador QAT20,Catar,Grupo B,Comum
SUI10,Jogador SUI10,Suica,Grupo B,Comum
SUI11,Escudo,Suica,Grupo B,Especial
SUI12,Jogador SUI12,Suica,Grupo B,Comum
SUI13,Jogador SUI13,Suica,Grupo B,Comum
SUI14,Jogador SUI14,Suica,Grupo B,Comum
SUI15,Jogador SUI15,Suica,Grupo B,Comum
SUI16,Jogador SUI16,Suica,Grupo B,Comum
SUI17,Jogador SUI17,Suica,Grupo B,Comum
SUI18,Jogador SUI18,Suica,Grupo B,Comum
SUI19,Jogador SUI19,Suica,Grupo B,Comum
SUI20,Jogador SUI20,Suica,Grupo B,Comum
BRA5,Jogador BRA5,Brasil,Grupo C,Comum
BRA6,Jogador BRA6,Brasil,Grupo C,Comum
BRA7,Jogador BRA7,Brasil,Grupo C,Comum
BRA8,Jogador BRA8,Brasil,Grupo C,Comum
BRA9,Jogador BRA9,Brasil,Grupo C,Comum
BRA10,Jogador BRA10,Brasil,Grupo C,Comum
BRA11,Escudo,Brasil,Grupo C,Especial
BRA12,Jogador BRA12,Brasil,Grupo C,Comum
BRA13,Jogador BRA13,Brasil,Grupo C,Comum
BRA14,Jogador BRA14,Brasil,Grupo C,Comum
BRA15,Jogador BRA15,Brasil,Grupo C,Comum
BRA16,Jogador BRA16,Brasil,Grupo C,Comum
BRA17,Jogador BRA17,Brasil,Grupo C,Comum
BRA18,Jogador BRA18,Brasil,Grupo C,Comum
BRA19,Jogador BRA19,Brasil,Grupo C,Comum
BRA20,Jogador BRA20,Brasil,Grupo C,Comum
MAR5,Jogador MAR5,Marrocos,Grupo C,Comum
MAR6,Jogador MAR6,Marrocos,Grupo C,Comum
MAR7,Jogador MAR7,Marrocos,Grupo C,Comum
MAR8,Jogador MAR8,Marrocos,Grupo C,Comum
MAR9,Jogador MAR9,Marrocos,Grupo C,Comum
MAR10,Jogador MAR10,Marrocos,Grupo C,Comum
MAR11,Escudo,Marrocos,Grupo C,Especial
MAR12,Jogador MAR12,Marrocos,Grupo C,Comum
MAR13,Jogador MAR13,Marrocos,Grupo C,Comum
MAR14,Jogador MAR14,Marrocos,Grupo C,Comum
MAR15,Jogador MAR15,Marrocos,Grupo C,Comum
MAR16,Jogador MAR16,Marrocos,Grupo C,Comum
MAR17,Jogador MAR17,Marrocos,Grupo C,Comum
MAR18,Jogador MAR18,Marrocos,Grupo C,Comum
MAR19,Jogador MAR19,Marrocos,Grupo C,Comum
MAR20,Jogador MAR20,Marrocos,Grupo C,Comum
HAI5,Jogador HAI5,Haiti,Grupo C,Comum
SCO5,Jogador SCO5,Escocia,Grupo C,Comum
HAI6,Jogador HAI6,Haiti,Grupo C,Comum
SCO6,Jogador SCO6,Escocia,Grupo C,Comum
HAI7,Jogador HAI7,Haiti,Grupo C,Comum
SCO7,Jogador SCO7,Escocia,Grupo C,Comum
HAI8,Jogador HAI8,Haiti,Grupo C,Comum
SCO8,Jogador SCO8,Escocia,Grupo C,Comum
HAI9,Jogador HAI9,Haiti,Grupo C,Comum
HAI10,Jogador HAI10,Haiti,Grupo C,Comum
HAI11,Escudo,Haiti,Grupo C,Especial
HAI12,Jogador HAI12,Haiti,Grupo C,Comum
HAI13,Jogador HAI13,Haiti,Grupo C,Comum
HAI14,Jogador HAI14,Haiti,Grupo C,Comum
HAI15,Jogador HAI15,Haiti,Grupo C,Comum
HAI16,Jogador HAI16,Haiti,Grupo C,Comum
HAI17,Jogador HAI17,Haiti,Grupo C,Comum
HAI18,Jogador HAI18,Haiti,Grupo C,Comum
HAI19,Jogador HAI19,Haiti,Grupo C,Comum
HAI20,Jogador HAI20,Haiti,Grupo C,Comum
SCO9,Jogador SCO9,Escocia,Grupo C,Comum
SCO10,Jogador SCO10,Escocia,Grupo C,Comum
SCO11,Escudo,Escocia,Grupo C,Especial
SCO12,Jogador SCO12,Escocia,Grupo C,Comum
SCO13,Jogador SCO13,Escocia,Grupo C,Comum
SCO14,Jogador SCO14,Escocia,Grupo C,Comum
SCO15,Jogador SCO15,Escocia,Grupo C,Comum
SCO16,Jogador SCO16,Escocia,Grupo C,Comum
SCO17,Jogador SCO17,Escocia,Grupo C,Comum
SCO18,Jogador SCO18,Escocia,Grupo C,Comum
SCO19,Jogador SCO19,Escocia,Grupo C,Comum
SCO20,Jogador SCO20,Escocia,Grupo C,Comum
USA5,Jogador USA5,Estados Unidos,Grupo D,Comum
USA6,Jogador USA6,Estados Unidos,Grupo D,Comum
USA7,Jogador USA7,Estados Unidos,Grupo D,Comum
USA8,Jogador USA8,Estados Unidos,Grupo D,Comum
USA9,Jogador USA9,Estados Unidos,Grupo D,Comum
USA10,Jogador USA10,Estados Unidos,Grupo D,Comum
USA11,Escudo,Estados Unidos,Grupo D,Especial
USA12,Jogador USA12,Estados Unidos,Grupo D,Comum
USA13,Jogador USA13,Estados Unidos,Grupo D,Comum
